read,type,id,X,Y,Z
198,2,3,750,256,17
199,1,1,721,35,22
200,5,1,481,518,10
201,3,3,131,427,8
202,2,1,102,387,12
203,1,3,663,188,12
204,2,2,477,536,4
205,3,2,172,294,4
206,5,3,265,362,8
207,4,2,559,267,1
208,5,2,242,394,3
209,3,2,413,429,4
210,1,2,310,258,18
211,2,2,686,389,7
212,2,3,84,204,25
213,3,1,234,318,5
214,1,1,656,56,1
215,1,1,242,84,22
216,1,2,708,146,2
217,5,3,324,432,7
218,1,1,411,402,15
219,5,2,303,152,23
220,1,1,412,126,19
221,3,1,191,69,10
222,4,2,760,279,22
223,1,1,393,56,2
224,1,2,536,128,9
225,4,2,416,422,21
226,2,1,627,178,5
227,2,3,487,439,13
228,5,2,587,237,13
229,2,1,603,493,24
230,2,3,193,154,13
231,3,1,11,400,3
232,3,3,156,500,22
233,5,1,1,546,18
234,3,3,188,205,13
235,2,3,450,360,9
236,2,2,83,466,2
237,3,3,753,410,4
238,5,3,411,218,7
239,5,1,238,196,19
240,3,3,422,198,2
241,1,2,352,39,9
242,4,2,662,155,10
243,5,1,38,475,13
244,2,2,781,7,1
245,2,2,270,138,3
246,5,3,600,570,20
247,4,2,418,430,4
248,4,2,168,80,4
249,3,1,267,494,8
250,4,3,614,76,11
251,3,2,467,596,21
252,4,2,136,286,4
253,5,3,606,42,18
254,5,2,660,460,6
255,4,2,87,308,5
256,3,2,140,388,10
257,3,1,518,498,20
258,4,3,562,142,2
259,4,2,259,532,17
260,4,3,367,138,8
261,5,3,191,562,21
262,2,3,596,294,25
263,4,1,788,60,6
264,2,1,250,37,13
265,5,1,80,451,16
266,5,2,372,39,8
267,2,3,764,26,4
268,2,1,136,137,6
269,1,3,639,181,23
270,1,2,107,337,6
271,5,1,725,292,4
272,3,3,182,301,20
273,1,1,681,309,9
274,3,1,584,486,12
275,2,3,682,65,9
276,4,3,618,276,20
277,2,3,359,8,13
278,2,1,691,6,18
279,3,2,59,388,10
280,5,3,171,334,7
281,5,3,70,400,1
282,1,2,314,74,17
283,2,3,208,424,2
284,5,2,102,493,20
285,2,3,147,415,5
286,2,2,536,583,7
287,1,3,165,437,17
288,2,3,356,570,4
289,3,2,633,586,22
290,5,3,514,42,20
291,5,3,235,470,8
292,5,2,576,506,6
293,5,3,10,79,10
294,5,1,467,5,14
295,5,2,215,236,11
296,4,1,380,390,23
297,3,1,700,288,20
298,5,2,350,201,20
299,3,1,291,188,14
300,3,3,422,281,20
301,5,1,173,478,14
302,2,3,765,164,11
303,3,1,755,38,21
304,4,2,270,61,12
305,1,1,535,402,22
306,5,3,618,450,2
307,1,1,236,387,3
308,3,3,84,566,23
309,4,3,297,295,17
310,1,1,218,454,7
311,4,3,150,36,19
312,4,2,145,65,20
313,5,3,512,358,23
314,1,2,513,114,22
315,4,2,143,369,10
316,1,3,650,166,9
317,4,1,506,327,5
318,3,2,413,144,21
319,3,1,762,292,25
320,4,3,604,1,8
321,4,3,213,528,17
322,3,3,221,582,11
323,5,2,134,420,21
324,1,3,334,137,8
325,2,2,140,282,1
326,2,3,502,414,1
327,4,3,425,296,3
328,1,2,148,236,13
329,3,3,227,461,21
330,2,2,762,12,11
331,3,1,35,22,2
332,2,1,780,145,9
333,1,1,438,354,15
334,2,2,738,292,13
335,5,1,93,509,20
336,3,1,210,82,21
337,2,1,689,91,1
338,4,2,252,555,9
339,1,1,665,239,23
340,1,2,496,328,12
341,5,2,786,74,25
342,3,2,236,417,14
343,3,3,333,241,3
344,3,1,686,83,2
345,5,3,787,78,16
346,2,1,285,5,17
347,1,2,366,357,22
348,5,3,553,92,14
349,5,1,271,386,13
350,2,1,752,118,15
351,2,3,93,488,19
352,4,1,543,155,13
353,2,1,761,417,16
354,5,3,401,525,10
355,3,2,681,190,24
356,5,1,636,504,16
357,3,3,756,171,19
358,4,1,291,238,24
359,5,1,730,540,12
360,4,2,710,199,24
361,4,2,322,303,6
362,3,1,274,565,8
363,5,2,717,306,1
364,1,3,37,288,20
365,3,1,478,95,7
366,5,3,408,163,10
367,2,1,84,26,3
368,3,3,543,586,21
369,2,3,632,8,24
370,5,2,535,149,13
371,4,3,514,367,20
372,2,2,517,175,10
373,3,2,540,358,16
374,5,2,271,347,19
375,1,3,148,216,16
376,1,1,198,44,10
377,1,1,227,185,19
378,3,2,619,287,25
379,2,2,274,305,4
380,1,3,622,42,19
381,1,3,273,407,16
382,3,2,573,334,19
383,2,1,344,587,7
384,2,3,64,481,13
385,1,2,38,92,9
386,4,1,553,571,15
387,3,1,619,127,3
388,2,3,787,68,20
389,3,3,754,480,16
390,4,1,439,591,5
391,2,3,237,119,8
392,3,2,668,485,21
393,4,1,516,176,18
394,4,1,555,340,4
395,5,2,550,64,10
396,5,3,182,206,1
397,1,1,274,47,10
398,1,1,126,323,9
399,4,3,554,199,15
400,3,3,604,96,16
401,4,2,694,288,22
402,1,2,669,233,8
403,1,1,702,537,21
404,4,2,275,33,3
405,3,1,150,111,23
406,3,3,278,336,12
407,2,3,264,287,17
408,1,2,704,55,12
409,2,2,224,122,15
410,2,1,369,402,10
411,4,3,359,232,4
412,3,2,387,264,19
413,2,3,124,300,17
414,2,3,669,335,11
415,1,2,508,580,3
416,3,2,697,452,19
417,5,1,628,472,4
418,3,3,86,274,23
419,1,1,612,396,22
420,3,3,69,459,7
421,4,3,318,207,25
422,2,2,205,283,15
423,1,3,650,127,20
424,3,2,296,414,23
425,4,3,478,123,8
426,4,2,586,364,17
427,5,3,651,412,8
428,2,3,467,211,15
429,5,3,506,62,13
430,3,3,669,124,14
431,2,3,160,322,5
432,4,1,536,569,22
433,4,2,423,15,14
434,3,2,542,572,2
435,4,3,360,32,12
436,1,3,659,74,3
437,3,1,83,317,16
438,2,3,704,290,3
439,4,1,660,288,18
440,2,3,623,224,7
441,3,2,321,412,12
442,3,2,395,308,16
443,3,3,568,417,3
444,1,3,444,460,12
445,2,3,484,391,24
446,3,2,568,413,8
447,3,1,54,168,23
448,2,2,610,209,15
449,4,1,277,282,22
450,3,1,706,312,22
451,2,3,580,547,23
452,4,3,427,453,2
453,4,3,214,461,14
454,4,1,204,292,20
455,2,3,616,114,14
456,3,1,293,435,9
457,5,1,102,497,6
458,5,1,217,88,9
459,5,1,105,418,18
460,1,3,726,52,24
461,2,3,586,240,3
462,5,2,232,66,24
463,4,2,323,580,24
464,5,1,367,590,2
465,4,2,81,533,21
466,2,2,681,495,10
467,5,3,695,594,18
468,5,2,778,129,15
469,3,1,412,428,10
470,5,1,59,49,3
471,4,3,674,306,22
472,4,3,265,47,2
473,4,2,308,345,5
474,5,3,109,544,18
475,2,3,606,182,17
476,1,2,750,441,10
477,2,1,45,215,23
478,5,3,613,593,2
479,1,3,313,346,13
480,2,1,690,105,25
481,1,1,723,386,15
482,5,2,115,521,22
483,3,3,762,519,17
484,1,2,456,395,10
485,5,3,69,180,3
486,3,2,672,85,11
487,2,1,434,132,9
488,4,3,694,431,18
489,1,3,377,133,22
490,5,1,180,574,15
491,3,3,472,522,20
492,1,1,19,500,20
493,4,3,211,276,25
494,5,2,448,193,2
495,3,2,18,64,7
496,3,1,499,412,5
497,5,1,498,92,9
498,4,3,773,214,13
499,2,2,489,287,25
500,3,1,323,259,21
501,5,2,745,552,16
502,4,2,431,253,2
503,1,3,398,269,24
504,5,3,788,308,18
505,4,1,297,423,8
506,2,3,522,144,22
507,4,3,116,3,14
508,5,1,221,265,18
509,3,1,498,261,8
510,3,1,325,338,15
511,4,1,756,485,18
512,5,1,492,362,10
513,4,1,518,181,12
514,3,3,309,326,17
515,4,3,176,485,19
516,4,3,234,68,4
517,5,3,516,311,10
518,4,1,614,492,10
519,3,1,220,61,1
520,1,3,242,273,5
521,3,3,37,376,7
522,5,3,569,241,4
523,4,3,162,383,12
524,4,1,20,37,6
525,3,2,392,363,3
526,1,1,588,309,22
527,1,3,449,520,5
528,3,3,47,482,23
529,5,3,141,350,16
530,3,2,609,282,23
531,3,3,339,231,1
532,5,1,375,213,2
533,5,2,101,462,13
534,4,2,322,315,17
535,4,3,101,228,24
536,5,3,25,258,7
537,2,1,179,155,14
538,2,1,200,272,1
539,1,1,605,470,12
540,2,2,107,343,6
541,3,2,657,141,3
542,3,2,765,221,1
543,4,2,558,280,25
544,4,1,486,93,25
545,3,3,432,12,24
546,3,3,685,67,2
547,2,3,296,421,3
548,4,1,462,430,17
549,5,3,705,286,19
550,5,1,543,128,19
551,5,1,740,474,15
552,5,1,237,52,7
553,4,1,350,125,20
554,1,3,661,293,18
555,5,3,709,144,15
556,5,3,370,329,15
557,1,2,497,179,7
558,2,2,449,84,9
559,2,2,690,169,23
560,2,1,163,360,24
561,2,3,509,377,13
562,4,3,610,212,8
563,5,2,138,99,2
564,4,1,585,253,10
565,5,2,410,99,21
566,2,1,427,571,6
567,2,2,377,145,21
568,5,3,134,369,16
569,2,1,522,491,10
570,1,2,367,371,19
571,1,3,15,359,6
572,2,1,138,233,3
573,5,3,336,156,17
574,3,3,136,277,16
575,3,1,619,429,13
576,5,1,35,377,24
577,3,1,104,436,17
578,2,2,101,156,15
579,4,2,451,402,16
580,2,3,551,286,17
581,2,2,485,297,19
582,3,2,681,544,5
583,5,1,314,576,2
584,2,1,176,85,9
585,4,2,201,201,10
586,1,2,370,504,13
587,3,1,401,200,1
588,2,1,524,584,9
589,2,1,48,577,14
590,3,3,253,24,4
591,1,2,75,565,10
592,3,3,375,199,11
593,4,3,116,472,5
594,4,2,115,567,2
595,1,3,11,129,8
596,4,2,686,465,4
597,3,2,337,405,25
598,4,1,576,504,23
599,4,3,620,463,9
600,2,3,344,98,4
601,1,3,434,110,21
602,2,2,635,336,5
603,2,3,299,92,24
604,3,1,717,175,15
605,2,1,579,304,21
606,1,2,94,237,10
607,1,2,624,85,10
608,3,2,599,453,3
609,1,1,614,346,8
610,4,2,62,177,2
611,2,3,373,380,6
612,1,3,549,391,18
613,3,1,126,427,24
614,3,2,456,61,23
615,2,1,687,545,8
616,4,3,752,155,25
617,5,1,252,414,20
618,3,1,210,59,6
619,1,1,451,462,10
620,3,2,358,404,1
621,1,2,64,321,6
622,5,2,311,2,11
623,4,1,407,183,4
624,1,2,546,590,19
625,1,2,267,263,6
626,2,3,313,269,9
627,1,2,327,11,2
628,4,2,79,417,2
629,5,2,180,522,9
630,4,3,45,171,16
631,3,3,753,70,14
632,4,2,392,382,8
633,3,3,677,380,23
634,5,3,666,574,24
635,2,3,508,85,11
636,4,3,176,237,8
637,1,1,74,333,4
638,1,1,112,582,3
639,1,2,628,51,11
640,2,2,9,61,10
641,3,3,423,419,12
642,3,1,535,146,2
643,1,1,111,102,25
644,3,3,548,227,8
645,1,3,374,296,11
646,5,2,607,417,22
647,5,1,520,77,11
648,5,3,430,584,5
649,1,1,101,421,15
650,4,3,123,347,14
651,5,3,752,406,7
652,1,2,446,260,1
653,5,2,131,130,19
654,2,1,227,251,24
655,4,2,729,262,21
656,5,3,381,258,17
657,1,2,406,341,10
658,5,1,622,115,14
659,2,1,666,192,8
660,3,3,538,593,10
661,2,2,264,165,20
662,1,2,219,114,11
663,4,3,588,13,24
664,4,2,229,99,23
665,5,2,359,359,7
666,5,3,168,100,9
667,1,3,533,32,2
668,3,3,612,460,21
669,4,3,19,111,3
670,1,3,311,498,2
671,5,3,736,376,3
672,5,2,72,506,11
673,1,3,273,419,23
674,5,2,232,363,15
675,4,3,492,248,9
676,1,3,441,43,5
677,1,2,665,340,12
678,1,3,764,290,9
679,1,1,341,406,22
680,3,3,762,86,6
681,3,2,140,390,4
682,1,2,94,16,11
683,3,3,727,27,11
684,3,2,624,561,20
685,5,1,546,319,8
686,1,2,515,37,25
687,5,3,741,39,22
688,4,1,730,27,25
689,5,2,152,474,12
690,1,3,214,139,19
691,1,2,624,242,23
692,5,3,150,388,5
693,5,3,108,385,17
694,1,2,411,245,2
695,4,2,613,312,19
696,2,2,189,288,16
697,2,3,329,565,25
698,4,3,411,399,8
699,4,1,473,54,5
700,4,1,456,518,23
701,5,2,160,328,3
702,2,3,262,571,1
703,1,1,706,324,14
704,4,1,147,155,10
705,2,2,483,410,5
706,1,1,783,7,20
707,2,2,146,32,24
708,4,2,373,392,8
709,2,1,30,478,3
710,2,2,212,281,22
711,1,1,364,94,19
712,3,2,361,264,17
713,5,1,500,586,19
714,1,2,555,212,13
715,5,2,706,587,6
716,1,2,166,296,25
717,2,3,561,95,25
718,4,1,328,197,12
719,4,2,372,329,19
720,4,2,428,351,1
721,5,1,121,91,18
722,4,1,713,273,13
723,2,2,599,120,4
724,1,3,588,347,24
725,5,1,398,237,9
726,4,1,301,369,7
727,2,1,715,20,15
728,3,2,623,195,17
729,4,2,40,597,25
730,1,1,214,409,25
731,4,1,566,209,23
732,4,2,33,511,5
733,4,1,315,285,22
734,1,1,56,70,14
735,4,3,478,184,15
736,3,2,758,299,3
737,1,3,184,471,8
738,5,2,216,67,25
739,1,1,371,375,3
740,5,2,728,437,13
741,5,2,288,317,5
742,5,1,204,298,6
743,5,2,306,134,7
744,4,1,459,147,25
745,4,3,471,198,8
746,5,1,504,527,19
747,3,1,415,452,20
748,3,3,456,183,22
749,2,1,197,510,12
750,3,3,143,492,17
751,1,2,218,438,17
752,5,3,320,179,25
753,3,2,250,469,23
754,3,3,663,311,18
755,3,3,229,416,2
756,4,2,705,450,19
757,5,1,467,161,15
758,4,1,180,57,7
759,2,3,542,84,15
760,4,1,155,3,21
761,5,1,724,327,11
762,2,1,77,200,10
763,5,2,573,35,21
764,1,3,621,407,15
765,1,2,8,179,11
766,3,1,165,118,1
767,5,1,282,323,3
768,3,2,34,366,22
769,1,3,429,88,8
770,5,3,82,100,20
771,5,1,786,347,15
772,5,3,43,115,4
773,1,3,538,494,20
774,5,1,657,53,22
775,3,2,618,99,24
776,2,1,508,365,14
777,3,2,685,492,9
778,3,1,82,299,6
779,2,1,493,126,5
780,3,1,394,522,20
781,3,1,78,421,1
782,1,1,773,572,17
783,5,2,412,51,24
784,4,3,386,166,16
785,2,2,792,413,14
786,4,3,574,317,17
787,4,2,789,523,22
788,3,1,516,433,8
789,1,3,184,498,14
790,1,2,541,291,25
791,5,1,218,161,17
792,2,3,88,427,22
793,2,2,503,590,8
794,2,3,201,397,21
795,4,2,356,107,10
796,2,1,60,251,7
797,5,1,486,194,12
798,3,3,258,357,16
799,5,1,353,376,24
800,5,2,427,331,6
801,2,3,712,3,16
802,5,2,233,377,19
803,3,1,225,423,4
804,2,1,653,105,25
805,4,2,54,63,5
806,4,3,4,155,13
807,5,2,471,107,5
808,2,1,9,531,12
809,4,2,362,69,18
810,2,1,322,497,25
811,3,2,241,114,3
812,3,2,181,575,3
813,1,2,56,55,10
814,2,2,770,526,5
815,2,1,353,431,24
816,3,2,161,62,18
817,3,3,504,187,10
818,5,2,772,543,3
819,5,2,542,59,17
820,2,2,7,364,24
821,3,3,648,400,1
822,5,2,764,75,12
823,2,2,706,77,18
824,1,3,104,269,22
825,3,1,45,324,6
826,2,2,394,225,3
827,1,1,569,185,24
828,5,2,666,30,11
829,5,3,736,227,20
830,3,1,646,67,12
831,5,2,66,327,8
832,1,2,261,376,22
833,4,3,41,77,2
834,5,3,2,228,14
835,5,1,149,312,24
836,3,3,499,345,20
837,1,2,254,66,9
838,2,3,224,424,14
839,1,2,247,131,1
840,5,3,135,409,16
841,3,1,283,550,1
842,3,1,752,553,2
843,4,3,200,334,21
844,4,2,38,276,1
845,5,3,134,225,4
846,2,2,661,196,13
847,3,3,285,3,8
848,4,1,413,385,5
849,5,3,71,205,23
850,1,3,639,148,9
851,5,2,786,431,5
852,1,3,497,14,20
853,5,1,462,160,3
854,2,1,374,358,14
855,3,3,658,36,2
856,5,3,386,251,8
857,3,1,564,32,14
858,2,1,631,492,14
859,5,3,795,358,21
860,3,1,604,254,24
861,2,2,738,124,6
862,1,1,322,317,10
863,2,1,785,134,3
864,3,1,745,566,16
865,4,3,179,333,19
866,4,2,230,392,11
867,1,1,218,307,23
868,1,3,38,55,23
869,1,1,764,13,17
870,5,3,762,355,11
871,1,1,432,417,6
872,5,2,558,316,17
873,2,3,760,274,8
874,2,1,27,78,6
875,2,2,677,291,4
876,3,3,9,475,17
877,5,3,346,518,2
878,3,2,500,514,17
879,3,2,363,336,4
880,3,3,579,70,13
881,3,1,707,395,4
882,1,3,736,579,5
883,1,3,545,433,9
884,4,3,46,226,1
885,3,2,676,421,2
886,3,3,734,417,2
887,4,3,433,279,11
888,4,3,19,532,23
889,5,2,773,312,20
890,5,1,519,588,22
891,3,2,636,197,1
892,3,1,271,572,1
893,1,2,392,150,23
894,3,1,541,82,9
895,1,3,545,79,23
896,5,2,39,498,1
897,2,3,36,178,7
898,5,3,691,525,4
899,5,1,448,595,24
900,1,3,162,333,15
901,3,3,522,136,4
902,4,3,751,54,7
903,4,2,620,543,12
904,3,1,59,35,25
905,3,3,430,184,14
906,2,3,289,323,12
907,4,3,579,179,16
908,4,2,740,502,24
909,3,3,772,124,4
910,3,1,761,30,1
911,3,1,562,115,19
912,4,1,185,279,11
913,5,1,597,413,10
914,3,2,215,239,3
915,1,3,579,143,4
916,3,2,561,593,13
917,1,1,160,314,7
918,3,2,610,347,12
919,3,3,398,548,10
920,3,3,444,172,16
921,5,1,176,270,22
922,2,3,542,174,5
923,1,2,792,290,17
924,1,3,610,110,14
925,3,2,319,289,6
926,1,2,771,289,10
927,1,2,396,501,17
928,4,2,685,414,9
929,2,1,232,122,3
930,5,1,766,586,3
931,5,1,542,347,12
932,2,1,159,43,3
933,4,1,695,427,5
934,1,2,144,336,5
935,5,1,407,152,22
936,2,3,727,566,2
937,3,3,222,265,5
938,2,2,548,545,4
939,1,3,551,73,6
940,5,3,677,491,10
941,1,2,73,9,20
942,5,2,144,490,9
943,3,2,243,252,10
944,4,1,741,1,21
945,2,1,322,152,21
946,3,1,42,598,12
947,5,3,789,116,20
948,2,2,93,286,6
949,1,1,366,498,10
950,5,3,455,56,9
951,2,1,770,537,13
952,3,1,96,137,2
953,5,3,312,560,13
954,2,1,678,103,14
955,5,1,681,224,24
956,2,1,588,92,13
957,1,3,529,326,24
958,4,1,114,313,16
959,3,1,314,91,1
960,1,2,282,509,25
961,5,2,773,550,15
962,4,3,657,115,6
963,4,3,4,356,21
964,1,3,516,354,19
965,1,1,425,149,2
966,5,2,108,66,1
967,4,2,552,45,3
968,5,2,622,485,17
969,4,2,163,175,21
970,2,2,390,273,25
971,1,1,424,506,16
972,1,3,321,275,12
973,1,2,40,546,12
974,5,1,491,248,9
975,5,1,450,323,14
976,1,3,396,352,2
977,5,3,281,274,10
978,4,3,369,509,12
979,3,1,345,449,1
980,1,3,636,194,18
981,3,1,684,285,1
982,3,3,57,249,10
983,1,1,773,448,5
984,4,3,267,370,10
985,5,2,447,5,21
986,1,1,482,469,8
987,2,3,430,228,3
988,5,2,631,198,14
989,3,2,693,276,18
990,5,2,688,569,21
991,4,3,701,554,9
992,4,2,478,339,21
993,5,3,71,323,8
994,4,1,558,187,9
995,1,3,701,600,15
996,2,3,393,448,6
997,3,1,301,266,6
998,3,1,318,277,7
999,2,2,564,123,10
1000,2,1,8,341,23
1001,2,1,189,545,20
1002,4,1,730,340,21
1003,1,2,338,253,5
1004,2,2,674,554,21
1005,3,1,310,58,14
1006,5,1,162,324,5
1007,5,2,571,130,13
1008,1,1,249,92,21
1009,4,1,797,133,4
1010,2,3,179,417,18
1011,3,1,5,425,15
1012,1,3,149,27,6
1013,3,3,5,332,2
1014,5,2,318,65,11
1015,5,1,219,271,4
1016,2,1,133,546,8
1017,2,2,230,510,16
1018,5,2,629,298,11
1019,2,3,672,12,5
1020,4,2,56,184,15
1021,5,3,521,335,13
1022,5,1,521,6,6
1023,3,1,284,216,20
1024,2,3,699,78,14
1025,2,2,576,515,5
1026,3,3,668,549,14
1027,4,1,695,511,7
1028,3,2,288,84,23
1029,5,3,717,425,4
1030,3,3,68,46,20
1031,3,3,152,5,20
1032,4,1,436,46,4
1033,1,2,1,392,10
1034,1,2,85,241,1
1035,5,2,360,47,20
1036,4,1,607,62,18
1037,4,1,78,497,24
1038,3,3,349,279,10
1039,1,3,582,3,15
1040,1,1,222,427,24
1041,4,1,152,431,15
1042,1,1,397,522,21
1043,4,2,406,355,19
1044,4,1,322,202,21
1045,1,3,289,439,5
1046,5,2,608,184,5
1047,3,2,8,119,5
1048,4,2,524,60,17
1049,1,2,541,246,17
1050,3,2,157,576,12
1051,3,1,79,402,21
1052,3,1,347,576,13
1053,1,2,593,597,6
1054,1,2,227,304,21
1055,5,2,108,425,19
1056,4,3,741,455,5
1057,1,2,477,4,7
1058,1,1,641,93,14
1059,5,3,265,379,15
1060,2,1,714,133,20
1061,3,2,113,501,25
1062,3,2,129,545,4
1063,3,1,494,437,16
1064,5,2,59,322,21
1065,2,2,590,333,22
1066,1,2,662,462,17
1067,2,3,737,497,17
1068,5,2,247,8,11
1069,5,1,114,207,16
1070,1,1,523,392,13
1071,2,2,505,172,15
1072,1,1,660,330,9
1073,5,2,655,412,16
1074,3,3,279,106,22
1075,4,1,255,68,11
1076,3,2,531,570,4
1077,1,1,670,431,12
1078,4,3,490,272,24
1079,2,3,265,429,16
1080,1,2,97,1,24
1081,2,1,219,98,22
1082,5,3,140,272,22
1083,5,1,80,189,2
1084,2,1,536,376,21
1085,1,2,277,258,12
1086,2,2,781,142,12
1087,4,3,322,422,16
1088,4,3,319,118,13
1089,4,3,467,262,22
1090,3,2,726,202,17
1091,5,2,742,91,5
1092,1,3,432,315,25
1093,3,3,459,450,24
1094,5,2,21,364,17
1095,1,3,787,586,6
1096,5,1,627,188,24
1097,4,1,348,342,4
1098,1,3,663,165,19
1099,5,1,111,313,3
1100,5,2,609,123,24
1101,3,3,479,164,22
1102,1,2,583,55,14
1103,1,3,534,198,23
1104,4,1,51,95,11
1105,5,1,661,177,3
1106,1,1,618,134,1
1107,1,2,438,325,19
1108,1,1,559,204,4
1109,2,2,367,249,9
1110,1,2,555,440,20
1111,5,1,435,310,9
1112,3,3,152,454,20
1113,4,2,290,524,22
1114,4,2,115,506,1
1115,3,2,555,460,5
1116,5,2,570,260,12
1117,4,1,630,514,13
1118,2,3,177,171,6
1119,4,3,754,586,11
1120,3,2,201,88,5
1121,1,2,25,167,18
1122,2,1,745,438,7
1123,3,1,633,60,20
1124,4,2,627,360,14
1125,5,3,558,316,21
1126,3,2,103,2,20
1127,1,3,674,427,11
1128,4,2,190,486,2
1129,1,3,799,95,1
1130,4,2,16,353,13
1131,5,2,684,371,13
1132,4,1,320,135,16
1133,4,1,464,303,21
1134,5,2,533,32,25
1135,2,1,643,522,8
1136,2,1,165,273,5
1137,1,2,606,369,2
1138,5,3,157,223,14
1139,5,1,597,457,5
1140,1,1,291,80,23
1141,5,1,262,433,12
1142,1,3,524,242,14
1143,2,2,473,167,2
1144,5,1,11,465,8
1145,1,1,59,392,24
1146,2,3,185,12,5
1147,5,2,287,473,20
1148,4,3,330,4,8
1149,4,2,611,76,3
1150,2,1,321,484,3
1151,3,2,101,241,6
